Week,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
59,479,8,14,499,0.015779093,0.983572895,0.971602434,0.972709552,0.984220907,0.97755102,0.978431373,0.977991196,0.977891318,0.977911671,0.978026447,0.996575329,0.978
60,241,0,257,502,0,1,0.483935743,0.661396574,1,0.652232747,0.796193497,0.724213122,0.695654902,0.741967871,0.786333079,0.739033825,0.743
61,145,84,352,419,0.166998012,0.633187773,0.291750503,0.543450065,0.833001988,0.399449036,0.657770801,0.528609918,0.492979461,0.562376246,0.575347582,0.675050302,0.564
62,182,448,322,48,0.903225806,0.288888889,0.361111111,0.12972973,0.096774194,0.320987654,0.110854503,0.215921079,0.186939125,0.228942652,0.219125981,0.130726366,0.23
63,460,63,36,441,0.125,0.879541109,0.927419355,0.924528302,0.875,0.902845927,0.899082569,0.900964248,0.900828472,0.901209677,0.901622191,0.964979759,0.901
64,115,229,411,245,0.483122363,0.334302326,0.218631179,0.37347561,0.516877637,0.264367816,0.433628319,0.348998067,0.336163007,0.367754408,0.360821688,0.308682678,0.36
65,344,84,134,438,0.16091954,0.803738318,0.719665272,0.765734266,0.83908046,0.759381898,0.800731261,0.78005658,0.777082407,0.779372866,0.782054579,0.882049648,0.782
66,252,445,245,58,0.884691849,0.361549498,0.507042254,0.191419142,0.115308151,0.422110553,0.143920596,0.283015574,0.241797653,0.311175202,0.293829761,0.160063762,0.31
67,490,10,18,482,0.020325203,0.98,0.964566929,0.964,0.979674797,0.972222222,0.971774194,0.971998208,0.972091513,0.972120863,0.972060431,0.988375024,0.972
68,366,397,125,112,0.779960707,0.479685452,0.745417515,0.47257384,0.220039293,0.583732057,0.300268097,0.442000077,0.404995238,0.482728404,0.479429025,0.461629568,0.478
69,485,34,19,462,0.068548387,0.934489403,0.962301587,0.96049896,0.931451613,0.948191593,0.945752303,0.946971948,0.946750952,0.9468766,0.947185391,0.990417387,0.947
70,136,71,363,430,0.141716567,0.657004831,0.27254509,0.542244641,0.858283433,0.385269122,0.664605873,0.524937498,0.483653735,0.565414262,0.582519499,0.527262109,0.566
