Week,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
13,31,4,74,227,0.0173160173160173,0.885714285714286,0.295238095238095,0.754152823920266,0.982683982683983,0.442857142857143,0.853383458646617,0.64812030075188,0.538633221467637,0.638961038961039,0.729447296889157,0.78754895897753
14,54,4,58,220,0.0178571428571429,0.931034482758621,0.482142857142857,0.79136690647482,0.982142857142857,0.635294117647059,0.876494023904382,0.755894070775721,0.688137459571346,0.732142857142857,0.796671775879789,0.8232421875
15,48,0,66,222,0,1,0.421052631578947,0.770833333333333,1,0.592592592592593,0.870588235294118,0.731590413943355,0.64888568452305,0.710526315789474,0.79797149122807,0.83436067646594
16,2,0,156,178,0,1,0.0126582278481013,0.532934131736527,1,0.025,0.6953125,0.36015625,0.112508790092602,0.506329113924051,0.636398089896157,0.617337505333523
17,44,23,110,159,0.126373626373626,0.656716417910448,0.285714285714286,0.591078066914498,0.873626373626374,0.398190045248869,0.70509977827051,0.551644911759689,0.499607381172277,0.57967032967033,0.601783786041401,0.75328243185386
18,27,43,84,182,0.191111111111111,0.385714285714286,0.243243243243243,0.684210526315789,0.808888888888889,0.298342541436464,0.741344195519348,0.519843368477906,0.443572718679538,0.526066066066066,0.530514236040552,0.552032032032032
19,48,6,70,212,0.0275229357798165,0.888888888888889,0.406779661016949,0.75177304964539,0.972477064220184,0.558139534883721,0.848,0.70306976744186,0.628954601326872,0.689628362618566,0.754979665942853,0.737482506608614
20,26,22,135,153,0.125714285714286,0.541666666666667,0.161490683229814,0.53125,0.874285714285714,0.248803827751196,0.660907127429806,0.454855477590501,0.375751243960769,0.517888198757764,0.527173266045549,0.55094942324756
21,79,70,24,163,0.300429184549356,0.530201342281879,0.766990291262136,0.871657754010695,0.699570815450644,0.626984126984127,0.776190476190476,0.701587301587302,0.732505306124795,0.73328055335639,0.717105050751339,0.773469727905329
22,14,52,127,143,0.266666666666667,0.212121212121212,0.099290780141844,0.52962962962963,0.733333333333333,0.135265700483092,0.61505376344086,0.375159731961976,0.26983928322371,0.416312056737589,0.393593738806505,0.413184215311875
23,80,20,53,183,0.0985221674876847,0.8,0.601503759398496,0.775423728813559,0.901477832512315,0.686695278969957,0.83371298405467,0.760204131512313,0.736371037772783,0.751490795955406,0.769601330181093,0.838716248749954
24,59,5,120,152,0.0318471337579618,0.921875,0.329608938547486,0.558823529411765,0.968152866242038,0.48559670781893,0.708624708624709,0.597110708221819,0.564899848286176,0.648880902394762,0.694615083550322,0.673700316692168
25,100,13,35,188,0.0646766169154229,0.884955752212389,0.740740740740741,0.84304932735426,0.935323383084577,0.806451612903226,0.886792452830189,0.846622032866707,0.832365385884231,0.838032061912659,0.851017300847992,0.84634236226276
26,43,11,86,196,0.0531400966183575,0.796296296296296,0.333333333333333,0.695035460992908,0.946859903381643,0.469945355191257,0.801635991820041,0.635790673505649,0.56180064773359,0.640096618357488,0.692881248501045,0.834344455679137
27,38,13,106,179,0.0677083333333333,0.745098039215686,0.263888888888889,0.628070175438596,0.932291666666667,0.38974358974359,0.750524109014675,0.570133849379132,0.496005455652493,0.598090277777778,0.64233719255246,0.823296440972222
28,117,57,19,143,0.285,0.672413793103448,0.860294117647059,0.882716049382716,0.715,0.754838709677419,0.790055248618785,0.772446979148102,0.784289674876348,0.787647058823529,0.782605990033306,0.829613970588235
29,107,4,82,143,0.0272108843537415,0.963963963963964,0.566137566137566,0.635555555555556,0.972789115646258,0.713333333333333,0.768817204301075,0.741075268817204,0.742113510385769,0.769463340891912,0.784611550325836,0.918277363855595
30,34,56,82,164,0.254545454545455,0.377777777777778,0.293103448275862,0.666666666666667,0.745454545454545,0.330097087378641,0.703862660944206,0.516979874161423,0.46743480594158,0.519278996865204,0.520750609543713,0.475528996865204
31,51,32,103,150,0.175824175824176,0.614457831325301,0.331168831168831,0.592885375494071,0.824175824175824,0.430379746835443,0.689655172413793,0.560017459624618,0.522437885657152,0.577672327672328,0.590671965541007,0.692878550021407
32,47,11,63,215,0.0486725663716814,0.810344827586207,0.427272727272727,0.773381294964029,0.951327433628319,0.55952380952381,0.853174603174603,0.706349206349206,0.637554913004155,0.689300080450523,0.74058157086282,0.727654867256637
33,53,26,62,195,0.117647058823529,0.670886075949367,0.460869565217391,0.75875486381323,0.882352941176471,0.54639175257732,0.815899581589958,0.681145667083639,0.637690847016238,0.671611253196931,0.693215861539115,0.760436749950816
34,80,17,45,194,0.0805687203791469,0.824742268041237,0.64,0.811715481171548,0.919431279620853,0.720720720720721,0.862222222222222,0.791471471471471,0.767095834271929,0.779715639810427,0.79897225720841,0.873611374407583
35,64,44,58,170,0.205607476635514,0.592592592592593,0.524590163934426,0.745614035087719,0.794392523364486,0.556521739130435,0.769230769230769,0.662876254180602,0.645546670706354,0.659491343649456,0.664297328744806,0.652826719779378
36,109,40,35,152,0.208333333333333,0.731543624161074,0.756944444444444,0.812834224598931,0.791666666666667,0.744027303754266,0.802110817941952,0.773069060848109,0.774110899797429,0.774305555555556,0.773247239967779,0.874927662037037
37,89,23,71,153,0.130681818181818,0.794642857142857,0.55625,0.683035714285714,0.869318181818182,0.654411764705882,0.765,0.709705882352941,0.695383519100333,0.712784090909091,0.725811688311688,0.850887784090909
38,50,17,61,208,0.0755555555555556,0.746268656716418,0.45045045045045,0.773234200743494,0.924444444444444,0.561797752808989,0.842105263157895,0.701951507983442,0.645303352243281,0.687447447447447,0.723599438088702,0.821381381381381
39,90,32,42,172,0.156862745098039,0.737704918032787,0.681818181818182,0.803738317757009,0.843137254901961,0.708661417322835,0.822966507177033,0.765813962249934,0.758199386810902,0.762477718360071,0.766599668127485,0.733882947118241
40,79,44,35,178,0.198198198198198,0.642276422764228,0.692982456140351,0.835680751173709,0.801801801801802,0.666666666666667,0.818390804597701,0.742528735632184,0.745409003132087,0.747392128971076,0.743185357970022,0.856606606606607
41,65,32,77,162,0.164948453608247,0.670103092783505,0.457746478873239,0.677824267782427,0.835051546391753,0.543933054393305,0.748267898383372,0.646100476388339,0.61825715122308,0.646399012632496,0.660181346457731,0.685185857412516
42,59,20,66,191,0.0947867298578199,0.746835443037975,0.472,0.743190661478599,0.90521327014218,0.57843137254902,0.816239316239316,0.697335344394168,0.65365179071667,0.68860663507109,0.716809843664688,0.646824644549763
43,106,37,31,162,0.185929648241206,0.741258741258741,0.773722627737226,0.839378238341969,0.814070351758794,0.757142857142857,0.826530612244898,0.791836734693878,0.793640127340964,0.79389648974801,0.792107489774183,0.791750724425045
44,80,64,65,127,0.335078534031414,0.555555555555556,0.551724137931034,0.661458333333333,0.664921465968586,0.55363321799308,0.663185378590078,0.608409298291579,0.605684094725425,0.60832280194981,0.608414873197127,0.527893121502076
45,38,3,131,164,0.0179640718562874,0.926829268292683,0.224852071005917,0.555932203389831,0.982035928143713,0.361904761904762,0.70995670995671,0.535930735930736,0.469907237915455,0.603443999574815,0.672412367708036,0.718970343336995
46,60,1,114,161,0.00617283950617284,0.983606557377049,0.344827586206897,0.585454545454545,0.993827160493827,0.51063829787234,0.736842105263158,0.623740201567749,0.585405005837788,0.669327373350362,0.72692896238308,0.84287640130552
47,94,94,38,110,0.46078431372549,0.5,0.712121212121212,0.743243243243243,0.53921568627451,0.5875,0.625,0.60625,0.619666787963156,0.625668449197861,0.623645035409741,0.62979055258467
48,133,153,7,43,0.780612244897959,0.465034965034965,0.95,0.86,0.219387755102041,0.624413145539906,0.349593495934959,0.487003320737433,0.45652860517928,0.58469387755102,0.623605680034251,0.606559766763848
49,30,29,85,192,0.131221719457014,0.508474576271186,0.260869565217391,0.693140794223827,0.868778280542986,0.344827586206897,0.771084337349398,0.557955961778147,0.476064924475183,0.564823922880189,0.582815804063848,0.653373991737163
50,10,2,163,161,0.0122699386503067,0.833333333333333,0.0578034682080925,0.496913580246914,0.987730061349693,0.108108108108108,0.661190965092402,0.384649536600255,0.238943975022188,0.522766764778893,0.593945110784508,0.486506613709706
51,44,91,91,110,0.45273631840796,0.325925925925926,0.325925925925926,0.54726368159204,0.54726368159204,0.325925925925926,0.54726368159204,0.436594803758983,0.422335674728665,0.436594803758983,0.436594803758983,0.514612124562373
52,105,161,23,47,0.774038461538462,0.394736842105263,0.8203125,0.671428571428571,0.225961538461538,0.532994923857868,0.338129496402878,0.435562210130373,0.430533476653362,0.523137019230769,0.528109862998843,0.472299429086538
53,111,189,6,30,0.863013698630137,0.37,0.948717948717949,0.833333333333333,0.136986301369863,0.532374100719424,0.235294117647059,0.383834109183242,0.360501543461433,0.542852125043906,0.572259395855286,0.651719158568474
54,88,156,0,92,0.629032258064516,0.360655737704918,1,1,0.370967741935484,0.530120481927711,0.541176470588235,0.535648476257973,0.609071212532232,0.685483870967742,0.6829058699101,0.87456469941349
55,100,115,0,121,0.48728813559322,0.465116279069767,1,1,0.51271186440678,0.634920634920635,0.677871148459384,0.656395891690009,0.716039010394531,0.75635593220339,0.744457035869137,0.929110169491525
56,83,40,17,196,0.169491525423729,0.67479674796748,0.83,0.92018779342723,0.830508474576271,0.744394618834081,0.873051224944321,0.808722921889201,0.830254198362348,0.830254237288136,0.813873253992745,0.901949152542373
57,1,0,120,215,0,1,0.00826446280991736,0.641791044776119,1,0.0163934426229508,0.781818181818182,0.399105812220566,0.0909090909090909,0.504132231404959,0.662513876896509,0.780222948299058
58,16,0,121,199,0,1,0.116788321167883,0.621875,1,0.209150326797386,0.766859344894027,0.488004835845706,0.341743063086704,0.558394160583942,0.684665830291971,0.842882294685104
59,115,40,13,168,0.192307692307692,0.741935483870968,0.8984375,0.92817679558011,0.807692307692308,0.812720848056537,0.863753213367609,0.838237030712073,0.851857416292367,0.853064903846154,0.844060521785846,0.914269080528846
60,74,82,16,164,0.333333333333333,0.474358974358974,0.822222222222222,0.911111111111111,0.666666666666667,0.601626016260163,0.769953051643193,0.685789533951678,0.740370277731452,0.744444444444444,0.718589743589744,0.830645889792231
61,82,10,36,208,0.0458715596330275,0.891304347826087,0.694915254237288,0.852459016393443,0.954128440366973,0.780952380952381,0.9004329004329,0.840692640692641,0.814271703863423,0.82452184730213,0.848201764705948,0.914982117866584
62,37,2,105,192,0.0103092783505155,0.948717948717949,0.26056338028169,0.646464646464647,0.989690721649485,0.408839779005525,0.782077393075356,0.595458586040441,0.507816068932852,0.625127050965587,0.711359174278443,0.863020908958908
63,40,0,114,182,0,1,0.25974025974026,0.614864864864865,1,0.412371134020618,0.761506276150628,0.586938705085623,0.509647191437625,0.62987012987013,0.718651281151281,0.84174753817611
64,127,80,28,101,0.441988950276243,0.613526570048309,0.819354838709677,0.782945736434108,0.558011049723757,0.701657458563536,0.651612903225807,0.676635180894671,0.676172354984013,0.688682944216717,0.693459548728963,0.787506683300659
65,140,88,13,95,0.480874316939891,0.614035087719298,0.915032679738562,0.87962962962963,0.519125683060109,0.73490813648294,0.652920962199313,0.693914549341126,0.689214745120563,0.717079181399336,0.7319557700369,0.884228008143148
66,121,37,64,114,0.245033112582781,0.765822784810127,0.654054054054054,0.640449438202247,0.754966887417219,0.705539358600583,0.693009118541034,0.699274238570808,0.702701325878785,0.704510470735636,0.703823291120912,0.802273134061214
67,127,15,84,110,0.12,0.894366197183099,0.601895734597156,0.567010309278351,0.88,0.719546742209632,0.689655172413793,0.704600957311712,0.727783103984626,0.740947867298578,0.735818060264651,0.89224644549763
68,180,42,2,112,0.272727272727273,0.810810810810811,0.989010989010989,0.982456140350877,0.727272727272727,0.891089108910891,0.835820895522388,0.86345500221664,0.848104191288263,0.858141858141858,0.877387666861351,0.909215784215784
69,168,68,2,98,0.409638554216867,0.711864406779661,0.988235294117647,0.98,0.590361445783133,0.827586206896552,0.736842105263158,0.782214156079855,0.763816743079918,0.78929836995039,0.81761528667011,0.858291991495393
70,198,35,0,103,0.253623188405797,0.849785407725322,1,1,0.746376811594203,0.918793503480278,0.854771784232365,0.886782643856322,0.863931022474713,0.873188405797101,0.899040554829881,0.8936832089006
71,183,29,0,124,0.189542483660131,0.863207547169811,1,1,0.810457516339869,0.926582278481013,0.895306859205776,0.910944568843394,0.900254139862666,0.905228758169935,0.91841626587742,0.923872281152898
72,156,51,14,115,0.307228915662651,0.753623188405797,0.917647058823529,0.891472868217054,0.692771084337349,0.827586206896552,0.779661016949153,0.803623611922852,0.797320103835439,0.805209071580439,0.813878549945932,0.838004961020553
73,153,9,6,168,0.0508474576271186,0.944444444444444,0.962264150943396,0.96551724137931,0.949152542372881,0.953271028037383,0.957264957264957,0.95526799265117,0.955685861202418,0.955708346658139,0.955344594785008,0.955033223181608
74,84,16,57,179,0.0820512820512821,0.84,0.595744680851064,0.758474576271186,0.917948717948718,0.697095435684647,0.830626450116009,0.763860942900328,0.739501903994846,0.756846699399891,0.778041993767742,0.9168757955992
75,140,38,34,124,0.234567901234568,0.786516853932584,0.804597701149425,0.784810126582278,0.765432098765432,0.795454545454546,0.775,0.785227272727273,0.78477060791842,0.785014899957429,0.78533919510743,0.85518660422875
76,89,77,71,99,0.4375,0.536144578313253,0.55625,0.582352941176471,0.5625,0.54601226993865,0.572254335260115,0.559133302599383,0.559366270881611,0.559375,0.559311879872431,0.657066761363636
77,95,23,30,188,0.109004739336493,0.805084745762712,0.76,0.862385321100917,0.890995260663507,0.781893004115226,0.876456876456876,0.829174940286051,0.822895131899725,0.825497630331754,0.829616331881784,0.849800947867299
78,103,9,35,189,0.0454545454545455,0.919642857142857,0.746376811594203,0.84375,0.954545454545455,0.824,0.895734597156398,0.859867298578199,0.844067884050433,0.850461133069829,0.866078780820629,0.861440491875275
79,32,0,75,229,0,1,0.299065420560748,0.753289473684211,1,0.460431654676259,0.859287054409006,0.659859354542632,0.546868741619731,0.649532710280374,0.76308872356124,0.710443619148676
80,75,15,51,195,0.0714285714285714,0.833333333333333,0.595238095238095,0.792682926829268,0.928571428571429,0.694444444444444,0.855263157894737,0.774853801169591,0.743452142666476,0.761904761904762,0.787456445993031,0.787792894935752
81,76,0,72,188,0,1,0.513513513513513,0.723076923076923,1,0.678571428571428,0.839285714285714,0.758928571428571,0.716598572084479,0.756756756756757,0.809147609147609,0.768401380103508
82,129,58,16,133,0.303664921465969,0.689839572192513,0.889655172413793,0.89261744966443,0.696335078534031,0.77710843373494,0.782352941176471,0.779730687455705,0.787082018820762,0.792995125473912,0.792111818201192,0.859252572666546
83,123,52,51,110,0.320987654320988,0.702857142857143,0.706896551724138,0.683229813664596,0.679012345679012,0.70487106017192,0.681114551083591,0.692992805627756,0.692814178361422,0.692954448701575,0.692998963481222,0.834149283383
